Time,Abstich GOK
2025-03-25 04:00:00,-34.95 mm
2025-03-25 07:00:00,-35.04 mm
2025-03-25 10:00:00,-35.67 mm
2025-03-25 16:00:00,-35.93 mm
2025-03-25 22:00:00,-34.39 mm
2025-03-26 07:00:00,-34.61 mm
2025-03-26 10:00:00,-34.57 mm
2025-03-26 16:00:00,-35.41 mm
2025-03-26 19:00:00,-36.21 mm
2025-03-26 22:00:00,-37.02 mm
2025-03-27 04:00:00,-36.66 mm
2025-03-27 07:00:00,-37.59 mm
2025-03-27 10:00:00,-38.88 mm
2025-03-27 16:00:00,-39.90 mm
2025-03-27 19:00:00,-39.09 mm
2025-03-27 22:00:00,-39.08 mm
2025-03-28 04:00:00,-38.72 mm
2025-03-28 07:00:00,-39.87 mm
2025-03-28 10:00:00,-41.40 mm
2025-03-28 16:00:00,-42.78 mm
2025-03-28 19:00:00,-42.70 mm
2025-03-28 22:00:00,-43.15 mm
2025-03-29 04:00:00,-43.59 mm
2025-03-29 07:00:00,-43.93 mm
2025-03-29 16:00:00,-47.54 mm
2025-03-29 19:00:00,-47.82 mm
2025-03-29 22:00:00,-48.05 mm
2025-03-30 05:00:00,-47.83 mm
2025-03-30 08:00:00,-45.67 mm
2025-03-30 11:00:00,-43.60 mm
2025-03-30 17:00:00,-32.27 mm
2025-03-30 23:00:00,-34.67 mm
2025-03-31 05:00:00,-37.14 mm
2025-03-31 08:00:00,-39.92 mm
2025-03-31 11:00:00,-41.61 mm
2025-03-31 17:00:00,-44.37 mm
2025-03-31 20:00:00,-46.13 mm
2025-03-31 23:00:00,-47.16 mm
2025-04-01 05:00:00,-48.21 mm
2025-04-01 08:00:00,-49.17 mm
2025-04-01 11:00:00,-51.01 mm
2025-04-01 17:00:00,-52.83 mm
2025-04-01 20:00:00,-52.71 mm
2025-04-02 05:00:00,-53.30 mm
2025-04-02 08:00:00,-54.19 mm
2025-04-02 11:00:00,-56.37 mm
2025-04-02 17:00:00,-57.93 mm
2025-04-02 20:00:00,-57.94 mm
2025-04-02 23:00:00,-58.32 mm
2025-04-03 08:00:00,-59.42 mm
2025-04-03 11:00:00,-61.99 mm
2025-04-03 17:00:00,-64.47 mm
2025-04-03 20:00:00,-64.10 mm
2025-04-03 23:00:00,-64.18 mm
2025-04-04 05:00:00,-63.89 mm
2025-04-04 08:00:00,-64.98 mm
2025-04-04 11:00:00,-67.39 mm
2025-04-04 17:00:00,-70.11 mm
2025-04-04 20:00:00,-70.08 mm
2025-04-04 23:00:00,-70.27 mm
